Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","BatteryHolder_Keystone_1042_1x18650",-148.590000,-117.475000,180.000000,bottom
"C1","1uF,50V,X5R","C_0603_1608Metric",-106.680000,-99.060000,-90.000000,bottom
"C2","1uF,50V,X5R","C_0603_1608Metric",-248.920000,-135.890000,-90.000000,bottom
"C3","100nF,50V,X7R","C_0603_1608Metric",-154.940000,-137.160000,-90.000000,bottom
"C4","1uF,50V,X5R","C_0603_1608Metric",-251.460000,-135.890000,-90.000000,bottom
"C5","1uF,50V,X5R","C_0603_1608Metric",-177.800000,-137.160000,180.000000,bottom
"C6","1uF,50V,X5R","C_0603_1608Metric",-182.626000,-133.858000,90.000000,bottom
"C7","1uF,50V,X5R","C_0603_1608Metric",-193.040000,-100.330000,0.000000,bottom
"C8","1uF,50V,X5R","C_0603_1608Metric",-261.874000,-100.838000,-90.000000,bottom
"C9","1uF,50V,X5R","C_0603_1608Metric",-259.842000,-101.854000,-90.000000,bottom
"C10","100nF,50V,X7R","C_0603_1608Metric",-273.812000,-120.904000,0.000000,bottom
"D1","SM4007PL","Nexperia_CFP3_SOD-123W",-161.290000,-134.620000,180.000000,bottom
"D2","SM4007PL","Nexperia_CFP3_SOD-123W",-261.366000,-133.858000,0.000000,bottom
"J2","io_connector","PinSocket_1x12_P2.54mm_Horizontal",-256.540000,-139.700000,90.000000,bottom
"J4","io_connector","PinHeader_1x12_P2.54mm_Horizontal",-256.515000,-104.197000,90.000000,bottom
"J5","USB_C_Receptacle_USB2.0","USB_C_Receptacle_LCSC_C165948",-278.130000,-131.445000,-90.000000,bottom
"LS1","SPEAKER","SPEAKER_36MM_8R",-211.882500,-117.475000,-135.000000,bottom
"Q1","BSS138","SOT-23",-264.795000,-120.650000,90.000000,bottom
"Q2","BSS138","SOT-23",-248.285000,-115.570000,0.000000,bottom
"Q3","BSS138","SOT-23",-248.285000,-111.760000,0.000000,bottom
"Q4","BSS138","SOT-23",-248.285000,-107.950000,0.000000,bottom
"R1","10k","R_0603_1608Metric",-193.040000,-97.790000,0.000000,bottom
"R2","10k","R_0603_1608Metric",-177.800000,-129.540000,0.000000,bottom
"R3","100","R_0603_1608Metric",-156.210000,-134.620000,180.000000,bottom
"R4","1k","R_0603_1608Metric",-151.130000,-130.810000,90.000000,bottom
"R5","5.1k","R_0603_1608Metric",-279.146000,-124.206000,90.000000,bottom
"R6","5.1k","R_0603_1608Metric",-280.670000,-124.206000,90.000000,bottom
"R7","10k","R_0603_1608Metric",-277.495000,-108.585000,-90.000000,bottom
"R8","560","R_0603_1608Metric",-275.590000,-108.585000,-90.000000,bottom
"R9","1k","R_0603_1608Metric",-276.860000,-102.870000,-90.000000,bottom
"R10","100","R_0603_1608Metric",-254.000000,-111.252000,90.000000,bottom
"R11","100","R_0603_1608Metric",-264.160000,-111.760000,90.000000,bottom
"R12","100","R_0603_1608Metric",-259.080000,-121.158000,-90.000000,bottom
"R13","100","R_0603_1608Metric",-254.000000,-121.158000,-90.000000,bottom
"R14","100","R_0603_1608Metric",-251.460000,-121.158000,-90.000000,bottom
"R15","100","R_0603_1608Metric",-256.540000,-111.252000,90.000000,bottom
"R16","100","R_0603_1608Metric",-261.620000,-121.158000,-90.000000,bottom
"R17","0","R_0603_1608Metric",-267.335000,-123.825000,180.000000,bottom
"R18","0","R_0603_1608Metric",-252.095000,-117.475000,180.000000,bottom
"R19","0","R_0603_1608Metric",-252.095000,-114.935000,180.000000,bottom
"R20","0","R_0603_1608Metric",-251.714000,-111.760000,90.000000,bottom
"R21","10k","R_0603_1608Metric",-267.335000,-125.476000,180.000000,bottom
"R22","10k","R_0603_1608Metric",-245.745000,-115.570000,-90.000000,bottom
"R23","10k","R_0603_1608Metric",-245.745000,-111.760000,-90.000000,bottom
"R24","10k","R_0603_1608Metric",-245.745000,-107.950000,-90.000000,bottom
"R25","0","R_0603_1608Metric",-275.844000,-105.410000,180.000000,bottom
"U1","NS8002","SO-8_3.9x4.9mm_P1.27mm",-177.800000,-133.350000,0.000000,bottom
"U2","DW01","SOT-23-6",-151.130000,-134.620000,0.000000,bottom
"U3","PM8205A","SOT-23-6",-146.050000,-134.620000,0.000000,bottom
"U4","MCP1700-3002E_SOT23","SOT-23",-250.190000,-132.080000,180.000000,bottom
"U5","STM32F030F4Px","TSSOP-20_4.4x6.5mm_P0.65mm",-273.050000,-116.205000,-90.000000,bottom
